image_name,part_0_x,part_0_y,part_1_x,part_1_y,part_2_x,part_2_y,part_3_x,part_3_y,part_4_x,part_4_y,part_5_x,part_5_y,part_6_x,part_6_y,part_7_x,part_7_y,part_8_x,part_8_y,part_9_x,part_9_y,part_10_x,part_10_y,part_11_x,part_11_y,part_12_x,part_12_y,part_13_x,part_13_y,part_14_x,part_14_y,part_15_x,part_15_y,part_16_x,part_16_y,part_17_x,part_17_y,part_18_x,part_18_y,part_19_x,part_19_y,part_20_x,part_20_y,part_21_x,part_21_y,part_22_x,part_22_y,part_23_x,part_23_y,part_24_x,part_24_y,part_25_x,part_25_y,part_26_x,part_26_y,part_27_x,part_27_y,part_28_x,part_28_y,part_29_x,part_29_y,part_30_x,part_30_y,part_31_x,part_31_y,part_32_x,part_32_y,part_33_x,part_33_y,part_34_x,part_34_y,part_35_x,part_35_y,part_36_x,part_36_y,part_37_x,part_37_y,part_38_x,part_38_y,part_39_x,part_39_y,part_40_x,part_40_y,part_41_x,part_41_y,part_42_x,part_42_y,part_43_x,part_43_y,part_44_x,part_44_y,part_45_x,part_45_y,part_46_x,part_46_y,part_47_x,part_47_y,part_48_x,part_48_y,part_49_x,part_49_y,part_50_x,part_50_y,part_51_x,part_51_y,part_52_x,part_52_y,part_53_x,part_53_y,part_54_x,part_54_y,part_55_x,part_55_y,part_56_x,part_56_y,part_57_x,part_57_y,part_58_x,part_58_y,part_59_x,part_59_y,part_60_x,part_60_y,part_61_x,part_61_y,part_62_x,part_62_y,part_63_x,part_63_y,part_64_x,part_64_y,part_65_x,part_65_y,part_66_x,part_66_y,part_67_x,part_67_y
indoor_001.png,446.0,91.0,449.459,119.344,450.957,150.614,460.552,176.986,471.486,202.157,488.087,226.842,506.016,246.438,524.662,263.865,553.315,271.435,578.732,266.26,599.361,248.966,615.947,220.651,627.439,197.999,635.375,179.064,642.063,156.371,647.302,124.753,646.518,92.944,470.271,117.87,486.218,109.415,503.097,114.454,519.714,120.09,533.68,127.609,571.937,123.59,585.702,117.155,602.344,109.07,620.077,103.951,633.964,111.236,554.931,145.072,554.589,161.106,554.658,177.57,554.777,194.295,532.717,197.93,543.637,202.841,555.652,205.483,565.441,202.069,576.368,197.061,487.474,136.436,499.184,132.337,513.781,133.589,527.594,143.047,513.422,144.769,499.117,144.737,579.876,140.815,590.901,130.008,605.648,128.376,618.343,132.671,606.771,140.525,593.466,141.419,519.04,229.04,536.292,221.978,547.001,221.192,557.161,224.381,568.172,219.826,579.144,222.233,589.098,224.41,581.071,239.804,570.103,251.962,558.241,254.844,547.661,254.621,534.085,247.772,524.758,230.477,547.684,231.663,557.304,230.805,568.172,229.159,585.417,225.992,569.211,237.777,557.473,240.542,547.989,240.014
indoor_002.png,199.0,212.233,203.725,263.996,224.69,318.393,233.201,364.729,251.869,408.246,276.471,442.344,311.359,467.734,349.341,485.11,387.377,486.918,424.566,475.095,452.822,448.13,476.29,411.053,499.464,371.749,512.99,322.219,510.21,279.34,514.314,235.664,517.827,187.195,225.265,232.97,247.848,212.523,279.877,215.963,307.753,229.064,336.856,233.858,391.148,229.924,407.056,217.564,433.362,199.241,466.46,188.209,488.588,198.539,354.243,247.785,356.765,275.523,359.287,304.838,362.124,335.414,334.197,346.774,349.975,351.248,364.841,353.798,380.239,346.845,399.494,341.091,252.798,242.295,272.849,235.539,294.151,238.22,319.131,252.743,293.741,253.661,271.54,253.832,394.063,242.192,417.791,224.235,438.037,219.738,455.743,224.143,441.47,236.972,418.746,239.519,313.186,404.069,336.692,386.424,359.051,379.086,375.567,383.671,392.129,376.444,416.257,379.313,439.094,384.007,416.581,400.983,396.342,411.696,377.52,414.815,359.588,414.236,337.594,410.399,321.718,399.457,358.614,395.314,376.546,397.684,393.565,391.27,426.867,386.276,393.565,391.27,376.546,397.684,358.614,395.314
indoor_003.png,366.0,322.304,370.151,383.263,373.595,442.898,393.941,500.001,422.982,556.418,455.501,597.563,490.575,634.948,534.349,673.942,595.115,691.292,655.255,679.731,709.887,653.205,765.795,624.353,819.667,583.971,845.648,532.002,855.081,456.749,856.081,391.427,855.025,332.859,379.361,275.258,398.921,242.918,429.94,228.82,463.894,228.432,491.232,245.398,632.562,244.137,667.299,228.654,719.315,224.0,773.914,232.826,799.814,260.936,560.579,306.602,560.996,345.65,559.286,389.983,558.723,438.066,515.703,460.963,539.568,470.666,565.347,471.994,591.025,464.419,623.38,457.119,406.054,300.593,441.385,286.57,477.5,286.169,513.268,309.824,478.508,313.023,438.994,314.994,633.086,310.038,674.883,284.394,711.523,284.015,742.841,294.674,712.291,309.764,674.323,309.668,470.084,507.455,515.313,507.698,545.824,507.907,573.404,512.947,608.061,506.43,655.146,506.488,716.501,502.169,658.13,548.464,612.68,569.237,573.597,575.725,544.713,572.797,511.686,549.442,487.582,507.762,544.861,534.522,573.331,532.112,610.678,532.15,703.89,509.124,610.678,532.15,573.363,539.586,544.861,534.522
indoor_004.png,307.0,263.693,312.176,292.678,321.195,329.394,336.267,360.973,360.035,386.348,384.255,403.627,411.694,419.188,439.95,428.394,469.504,421.987,487.248,403.666,499.808,376.612,510.334,355.031,518.654,329.379,522.309,295.677,522.869,265.726,522.097,239.585,519.572,213.663,327.106,205.79,340.499,194.745,363.059,192.6,385.754,193.937,406.84,201.769,442.706,191.206,455.234,177.941,470.089,168.358,488.42,161.0,502.017,169.045,430.719,221.517,437.023,242.81,443.609,263.907,450.233,285.171,424.258,307.983,438.414,311.727,452.532,312.313,462.849,306.417,468.991,297.819,347.375,239.146,360.301,226.052,378.468,224.39,395.479,235.581,379.504,240.345,362.292,244.228,455.166,222.228,467.672,206.425,484.155,201.921,494.115,206.262,485.544,219.722,469.439,222.91,407.059,357.418,420.759,341.288,437.895,330.661,452.041,332.702,464.259,328.092,478.553,333.009,489.597,345.566,483.78,366.591,470.46,380.111,458.288,384.544,443.909,385.383,426.493,380.358,412.386,356.858,438.923,343.343,453.77,341.222,465.102,340.036,482.819,346.252,468.148,361.92,455.516,367.069,442.256,366.952
indoor_005.png,181.512,175.594,174.0,214.573,174.211,253.35,179.739,293.299,188.512,333.153,203.746,369.576,228.2,400.28,253.713,416.686,283.375,421.84,320.048,422.651,364.738,411.129,406.135,389.114,441.668,361.569,466.956,319.628,481.079,276.105,482.849,217.109,486.588,171.302,181.989,130.301,195.652,112.354,216.469,107.0,244.293,109.446,271.226,118.84,304.226,115.679,336.372,112.914,364.182,112.594,389.444,117.725,415.961,127.227,280.685,148.613,273.75,172.723,263.818,198.003,255.754,223.477,236.724,253.882,250.085,264.684,268.138,271.111,290.434,266.913,310.453,261.713,198.328,161.764,212.296,149.33,234.679,149.9,256.417,160.822,235.391,167.653,213.446,170.866,334.71,165.384,354.748,149.857,378.079,150.706,397.907,162.632,378.239,169.081,355.423,168.553,226.917,325.743,238.228,314.782,250.145,305.875,267.99,312.136,284.137,309.571,310.767,316.484,349.144,325.426,311.938,339.346,285.282,344.384,268.454,344.031,254.302,340.341,241.021,335.039,234.594,323.062,251.956,320.802,267.717,323.937,284.129,322.246,338.323,325.87,284.129,322.246,267.717,323.937,251.956,320.802
indoor_006.png,296.131,146.934,295.032,236.332,309.498,321.64,328.214,407.71,358.269,476.722,404.02,536.29,461.747,589.104,519.166,634.548,611.274,650.141,701.738,622.407,750.332,573.52,803.226,515.566,843.464,454.353,868.713,389.276,873.873,298.669,881.202,206.178,869.817,132.004,350.181,139.526,392.012,124.098,439.683,119.394,487.552,116.147,534.602,137.054,641.961,128.961,680.576,111.676,731.093,106.0,778.843,108.762,832.904,109.345,588.285,203.583,587.86,252.935,587.663,303.691,589.262,348.983,536.82,367.416,565.009,378.699,594.872,386.369,620.355,374.972,649.507,373.453,395.181,176.853,431.794,157.372,473.717,157.115,510.411,183.152,474.064,185.452,429.549,188.504,662.221,182.455,698.676,150.924,743.914,144.28,777.79,156.127,747.118,173.451,700.805,175.757,484.387,475.462,533.298,455.453,569.802,447.148,601.124,458.473,638.752,446.991,675.907,455.579,725.433,469.997,681.425,496.616,646.887,513.02,608.597,521.083,564.466,520.646,531.773,498.389,494.982,471.542,568.012,463.364,600.958,471.199,637.99,465.301,709.613,466.128,638.866,479.036,600.796,481.574,565.964,480.105
indoor_007.png,124.87,294.021,119.211,342.928,123.253,395.877,137.727,439.54,162.741,478.164,195.603,515.112,234.001,543.81,273.207,554.319,312.009,556.34,341.111,547.852,368.192,521.984,387.189,491.669,405.377,459.738,414.666,423.964,421.023,386.337,422.176,349.188,418.943,317.257,189.325,291.112,213.719,279.551,246.738,274.0,278.462,281.086,306.845,284.162,339.769,291.998,361.678,282.357,383.941,280.618,404.2,281.729,418.01,291.826,325.135,309.542,326.666,337.578,329.057,363.949,331.061,392.626,284.229,393.907,301.905,399.918,319.689,410.023,337.069,404.364,350.812,395.068,232.784,305.272,249.764,301.295,269.121,301.383,279.367,311.855,266.02,311.845,248.551,311.4,345.9,313.764,363.944,300.981,380.371,301.561,390.801,306.517,380.573,314.189,365.311,313.052,239.327,431.637,271.308,425.022,298.151,426.612,314.773,431.13,332.044,427.706,349.836,430.331,362.157,432.865,350.121,455.175,333.828,463.222,315.199,464.881,297.445,464.311,265.814,455.044,250.812,431.999,297.953,437.118,314.92,437.157,332.864,436.64,353.671,434.914,333.385,443.886,314.485,447.149,297.645,446.822
indoor_008.png,309.477,313.483,305.0,355.601,307.758,406.453,310.678,455.779,324.934,500.951,349.656,540.621,386.118,578.855,431.728,612.12,488.001,627.364,538.058,613.626,572.035,581.608,596.086,543.138,616.647,503.184,629.396,455.611,639.82,409.589,643.534,365.341,645.437,320.297,330.819,301.129,362.419,285.362,399.717,282.471,434.147,288.47,459.19,298.399,520.332,297.419,549.008,286.982,581.249,282.0,608.988,282.441,634.755,289.955,494.732,325.106,494.841,360.601,493.71,393.956,494.294,424.66,453.03,449.139,473.169,453.154,492.329,455.119,511.98,452.172,530.093,445.54,372.037,318.728,395.547,311.666,424.726,310.907,441.727,325.913,424.537,332.838,397.021,334.265,530.278,327.578,552.675,305.948,576.61,305.78,596.672,317.799,576.843,329.523,553.093,329.523,416.501,515.096,450.42,504.241,471.918,500.415,490.922,503.58,511.267,498.094,532.297,499.161,560.349,506.179,531.796,524.0,512.491,534.65,491.95,539.927,472.026,538.976,449.256,532.103,429.953,511.797,472.154,507.886,490.912,508.112,511.17,504.183,544.743,506.197,511.265,514.532,490.638,520.167,471.7,518.133
indoor_010.png,327.0,1000.963,355.198,1121.283,389.89,1239.747,432.901,1337.717,487.793,1432.006,563.952,1495.894,657.992,1535.98,736.367,1548.684,814.06,1541.552,872.025,1496.0,892.158,1426.526,914.079,1358.43,950.895,1292.195,995.839,1213.892,1029.364,1141.556,1025.794,1054.287,1022.166,979.118,492.748,866.451,545.266,831.054,614.83,824.28,686.524,836.628,755.806,851.825,892.256,868.149,932.805,832.851,974.96,813.647,1016.564,802.0,1039.061,839.629,832.538,951.991,851.391,1007.491,869.063,1070.55,878.26,1121.672,758.791,1195.681,809.1,1205.61,855.529,1210.727,894.357,1202.289,916.746,1173.539,561.409,935.646,610.202,910.142,660.372,909.611,706.385,952.025,657.353,951.154,604.118,951.154,865.671,952.847,915.098,907.498,959.438,905.409,982.343,929.212,958.212,945.579,913.063,948.339,612.809,1282.26,716.928,1273.907,788.069,1273.377,835.114,1278.327,872.437,1274.198,904.854,1263.584,916.052,1282.481,893.304,1336.439,869.054,1354.095,828.498,1357.851,782.259,1355.496,709.796,1338.329,634.979,1286.808,786.319,1306.504,832.533,1307.518,872.11,1302.968,907.653,1289.48,872.11,1302.968,832.533,1307.518,786.319,1306.504
indoor_011.png,227.553,234.871,230.683,255.779,235.403,278.336,241.379,299.635,250.335,321.603,263.018,341.968,276.62,360.547,295.726,378.848,313.799,381.168,333.8,378.659,359.445,364.605,381.79,345.035,399.325,321.995,410.39,293.841,416.312,261.375,421.94,229.97,422.844,198.0,223.0,211.693,234.27,199.443,253.433,199.266,270.797,205.952,284.448,215.512,320.013,212.236,334.741,205.816,357.965,199.586,379.301,199.208,394.217,208.648,300.316,228.778,298.906,248.722,297.746,271.913,297.058,293.46,281.164,293.814,287.726,299.845,297.544,303.244,310.95,300.6,325.111,297.391,240.412,218.678,250.536,214.26,264.851,215.054,281.938,228.139,264.699,229.673,249.248,228.283,331.438,229.82,347.193,216.731,363.047,218.254,376.801,224.798,363.278,232.093,346.854,232.285,271.41,325.721,282.636,319.862,295.326,319.428,305.208,322.07,315.593,320.091,330.889,322.904,351.151,328.358,333.453,342.487,318.012,347.366,305.708,347.847,295.614,344.143,282.78,335.46,277.289,326.22,295.488,327.893,304.593,328.806,316.447,326.46,343.394,329.503,316.781,332.628,304.728,335.031,295.803,332.382
